Organisation,Year,Launches
Sea Launch,2001,2
NASA,2001,6
VKS RF,2001,6
Boeing,2001,7
Lockheed,2001,7
Arianespace,2001,8
CASIC,2002,1
IAI,2002,1
ISRO,2002,1
Kosmotras,2002,1
Northrop,2002,1
Sea Launch,2002,1
Eurockot,2002,2
ILS,2002,3
MHI,2002,3
Boeing,2002,4
CASC,2002,4
Lockheed,2002,4
NASA,2002,5
VKS RF,2002,6
Arianespace,2002,12
AEB,2003,1
CASIC,2003,1
ISAS,2003,1
NASA,2003,1
Starsem,2003,1
Eurockot,2003,2
ISRO,2003,2
MHI,2003,2
ILS,2003,3
Sea Launch,2003,3
Arianespace,2003,4
Northrop,2003,4
CASC,2003,6
Lockheed,2003,6
VKS RF,2003,6
Boeing,2003,9
IAI,2004,1
ISRO,2004,1
Kosmotras,2004,1
Northrop,2004,1
Lockheed,2004,2
Arianespace,2004,3
Sea Launch,2004,3
ILS,2004,5
VKS RF,2004,7
Boeing,2004,8
CASC,2004,8
Eurockot,2005,1
ISAS,2005,1
ISRO,2005,1
Kosmotras,2005,1
MHI,2005,1
NASA,2005,1
SRC,2005,1
ILS,2005,2
Boeing,2005,3
Lockheed,2005,3
Northrop,2005,3
Sea Launch,2005,4
Arianespace,2005,5
CASC,2005,5
VKS RF,2005,5
Eurockot,2006,1
ISRO,2006,1
MITT,2006,1
SRC,2006,1
SpaceX,2006,1
ULA,2006,1
ILS,2006,2
ISAS,2006,2
Kosmotras,2006,2
NASA,2006,3
Northrop,2006,3
VKS RF,2006,3
MHI,2006,4
Arianespace,2006,5
Sea Launch,2006,5
CASC,2006,6
Boeing,2006,8
IAI,2007,1
Sea Launch,2007,1
SpaceX,2007,1
MHI,2007,2
Northrop,2007,2
ISRO,2007,3
Kosmotras,2007,3
NASA,2007,3
VKS RF,2007,5
Arianespace,2007,6
CASC,2007,10
ULA,2007,13
ISA,2008,1
Land Launch,2008,1
MHI,2008,1
Kosmotras,2008,2
Northrop,2008,2
SpaceX,2008,2
ISRO,2008,3
NASA,2008,4
Sea Launch,2008,5
VKS RF,2008,5
Arianespace,2008,6
ULA,2008,7
CASC,2008,9
ISA,2009,1
KARI,2009,1
KCST,2009,1
Kosmotras,2009,1
Sea Launch,2009,1
SpaceX,2009,1
Eurockot,2009,2
ISRO,2009,2
Northrop,2009,2
Land Launch,2009,3
MHI,2009,3
VKS RF,2009,3
NASA,2009,6
Arianespace,2009,7
ULA,2009,16
Eurockot,2010,1
IAI,2010,1
KARI,2010,1
MHI,2010,1
Northrop,2010,2
SpaceX,2010,2
ISRO,2010,3
Kosmotras,2010,3
NASA,2010,3
Roscosmos,2010,3
VKS RF,2010,3
Arianespace,2010,6
ULA,2010,8
ISA,2011,1
Kosmotras,2011,1
Land Launch,2011,1
Sea Launch,2011,1
VKS RF,2011,1
CASC,2011,2
ISRO,2011,3
NASA,2011,3
Roscosmos,2011,3
MHI,2011,4
Northrop,2011,4
Arianespace,2011,7
ULA,2011,11
CASC,2012,1
ESA,2012,1
Northrop,2012,1
VKS RF,2012,1
KCST,2012,2
MHI,2012,2
SpaceX,2012,2
ISA,2012,3
ISRO,2012,3
Sea Launch,2012,3
Arianespace,2012,9
ULA,2012,10
CASC,2013,1
CASIC,2013,1
JAXA,2013,1
KARI,2013,1
Land Launch,2013,1
Sea Launch,2013,1
Kosmotras,2013,2
MHI,2013,2
ISRO,2013,3
SpaceX,2013,3
Northrop,2013,5
Arianespace,2013,7
VKS RF,2013,7
ULA,2013,11
CASIC,2014,1
IAI,2014,1
Khrunichev,2014,1
Sea Launch,2014,1
Kosmotras,2014,2
Northrop,2014,3
MHI,2014,4
VKS RF,2014,4
ISRO,2014,5
SpaceX,2014,6
Arianespace,2014,11
ULA,2014,14
Kosmotras,2015,1
Roscosmos,2015,1
Sandia,2015,1
Blue Origin,2015,2
CASC,2015,2
ISA,2015,2
VKS RF,2015,3
MHI,2015,4
ISRO,2015,5
SpaceX,2015,7
Arianespace,2015,12
ULA,2015,12
Eurockot,2016,1
IAI,2016,1
JAXA,2016,1
KCST,2016,1
ILS,2016,2
Northrop,2016,2
MHI,2016,3
Blue Origin,2016,4
VKS RF,2016,4
ISRO,2016,7
SpaceX,2016,9
Roscosmos,2016,10
Arianespace,2016,11
ULA,2016,12
CASC,2016,22
Blue Origin,2017,1
CASIC,2017,1
Eurockot,2017,1
ExPace,2017,1
ISA,2017,1
JAXA,2017,1
Land Launch,2017,1
Rocket Lab,2017,1
ILS,2017,2
Northrop,2017,3
ISRO,2017,5
MHI,2017,6
VKS RF,2017,6
ULA,2017,8
Roscosmos,2017,9
Arianespace,2017,11
CASC,2017,16
SpaceX,2017,18
Eurockot,2018,1
ExPace,2018,1
Exos,2018,1
Landspace,2018,1
Blue Origin,2018,2
JAXA,2018,2
Northrop,2018,2
Rocket Lab,2018,3
MHI,2018,4
VKS RF,2018,5
ISRO,2018,7
ULA,2018,8
Arianespace,2018,11
Roscosmos,2018,11
SpaceX,2018,21
CASC,2018,37
ILS,2019,1
JAXA,2019,1
MHI,2019,1
OneSpace,2019,1
i-Space,2019,1
Blue Origin,2019,3
Exos,2019,3
ISA,2019,3
Northrop,2019,3
ExPace,2019,5
ULA,2019,5
ISRO,2019,6
Rocket Lab,2019,6
VKS RF,2019,8
Arianespace,2019,9
Roscosmos,2019,13
SpaceX,2019,13
CASC,2019,27
IAI,2020,1
IRGC,2020,1
ISA,2020,1
JAXA,2020,1
Virgin Orbit,2020,1
MHI,2020,2
Northrop,2020,2
ExPace,2020,3
Rocket Lab,2020,3
VKS RF,2020,3
Arianespace,2020,4
Roscosmos,2020,4
ULA,2020,4
SpaceX,2020,14
CASC,2020,19
